user,entries
rdx1qspke2skccujfetp2w0egnhcaymfyzvj73nm6clqck5ea6zkkeul3mqj7tm7a,5
rdx1qsptxddvu4z47etv5gqm823kv7xywg5m4smz63jy9jlqlgtrvzdex3qha5dka,5
rdx1qsp0rdfa3dh5cv47026kfz4t62y58r6ea23fq8j0fzc4rh6empwflactgnj34,5
rdx1qspchsyawn0vevggst8j7g3n9cpk8qknvuty5zsl0j8pe868xpcxsaqmvvu67,5
rdx1qspv6sddd2xvjjlf98fzx6zl35yw3kmc9azafxdpn0wved79atjeyxs8f52cn,5
rdx1qsph4cfd8ayjeh3k6q868kxqnutdveuh28tmtew6ns5a856l3gwjgjcw8mw6g,5
rdx1qsp3n6eux34qq8y5egtukn49axdf87lyyg7a3678lus977qmqcmenrgmfu7v0,5
rdx1qspcqzplkss5lgmk32ca32d6t227zfcx8krkz6jrlqc20n90en4j4gsgpy5uq,5
rdx1qsp607cchcg76zh8yjrpll2fhgn5zph5009se2kdx5skzjqmhacj8zsselh4q,5
rdx1qsputtj6ycrgg6xq35kr3396lmed35kyrcvmk3paf2dqkpnushpzpaglkjzme,5
rdx1qspwjd0uhshvxhk9ta30txzdrmudag585gvfky84hkzfen2zey8xk2cznpege,5
rdx1qsp7encuwfv9t4jwwr5atjvay9hwdw4qdfvm4cahxgjltfnsckrfnlqzzn5zf,5
rdx1qsp2a50fyzhzguwgudrpsw85q2x9xuql9tevq43p4wwa3gdpycz7tsg0qtc9p,5
rdx1qspd0qmh0emj9yels59g50gjve6yyh92d4p7nu3plnme9rlpmltqmjsqraxne,5
rdx1qspvugvu0u5h8hw0h2weygas2z7mp4wpepa9sq40m9ut9m4jrvyaqhcnezxdy,5
rdx1qsp06kt9keefuwg7rf2ehk0rxtxdtlfwf4we56fcz7u5nkuj3wwh4qcy5f6ps,5
rdx1qsp6erc8smmlnssd6cpfc0akj87ugl43w8ttsh2ej6xw92yn4s5an9g3jy9j3,5
rdx1qsp2ar6q9kx9fks8cvdvy8fhphuapth6vgxjwqjlgxncetp8dgk24vs0jyt9j,5
rdx1qsp9k8pvxm82tfta75fdz22p8l0pe5ts25mvlkvvr9ylvmeuukegdxgfcq8ht,5
rdx1qsp06z3nhm6my2r04vcmhk09dautf9xqf7htj3yvctxhsd6n8wau29ghmdgmr,5
rdx1qsp76aveq428xcjx08hjwt22gc3xm9xda5hm6lx0plc8rms06v7ffys724ldn,5
rdx1qspxyzsmfgk3h29zrwcxkrywgwquuvqyce5gs2dpafree242dv0zxmgdw85wl,5
