User,Prize
rdx1qspktq38ltuth3gshqw56vq75dfp99lfdzxfn5dsw0eg6w874qagm4q4z7y7g,250000
rdx1qsp6w0y3259twczheq0g4a76ksf8lyt27e7ep9kfv7h3s63s52fpddck0pphm,250000
rdx1qsp3d6z7nrvwejpj2zvvwwy6c7tl3zs5upyfkmcwj7slwdu2urgfxzgerq63t,250000
rdx1qspalcmad86stuspwlfzn2jspefm008s8j6achv7870ntr2y559y68guamnwt,250000
rdx1qsp3yx27y6t0ya4ajfeyp9g0c8addcevxx6fq46d2k07al90jhu52qs499wra,250000
rdx1qspm8t28n0qrcckhdgccv6yyflu8jwz6qpcnq8a3kunkdjcdgdkuqesmctpee,100000
rdx1qspdp7knlu4fvr73myr0nt2c34y6mtukgjxd338wlgj7ccntewfyxuqfgs2dg,100000
rdx1qspl4sz9z5dsdeq7e49pw953kfwr47rgxlffk0gqrkx98kkljmtfasq3py9dy,100000
rdx1qsp35ncg6qxazy0sqxjhdsr7tdj53a4t3ynjz77hzuhy4v2h74d2kuc7l88m7,100000
rdx1qspwjd0uhshvxhk9ta30txzdrmudag585gvfky84hkzfen2zey8xk2cznpege,100000
rdx1qsp62v04wtt7zd0sxdv5zh4nd3gswa5e6k3ylnn7t0uqzedeqkxpaxsumfsme,100000
rdx1qspy9dpqyfpx9a5rsvd08jpzr3m8d04a4rersvf36pdzeelehug8e8q04s4ql,100000
rdx1qspft4y3rkt5klvfe9s4cafpjzmch9aa6xrkxrgc3pf7udcn2kavfmcjrdr2d,100000
rdx1qspqkkzm4kgk6hxv2hj7csa0qj7sp9j7hzkzrmp7ewjw2hszdnrw0hqyjuxqe,100000
rdx1qspl7ammlks27v365nc0eqvz2x6a8fv84mtyynptt0hsfpakrq5v25sa34hzz,100000
rdx1qspkvawyrz57nq58wxh6vlj0fprwvzhfksuf237nlytymzkt0pz6g2s7syrpn,100000
rdx1qsppkdhhp0m8racg477a0vd3r8zd535pkrnrw6v7fngseejw9j3prdclpcwr2,100000
rdx1qspdzx760u3lpn5f0d20hq920sxlx5nlqc8x4xn4hgzlaedxuhyt4lsd5cry8,100000
rdx1qsputtj6ycrgg6xq35kr3396lmed35kyrcvmk3paf2dqkpnushpzpaglkjzme,100000
rdx1qspey4tft420w2vyqlpn4rpyeajyu2xhs863q2y3748829hmyl3lsrq384dzz,100000
rdx1qsp0gshwu9h2uzwz23ls6gumjf06m4eed7td876q3k29sf5qp3gcrzg2gee9x,50000
rdx1qspxyzsmfgk3h29zrwcxkrywgwquuvqyce5gs2dpafree242dv0zxmgdw85wl,50000
rdx1qspul4w7kh04rdz55q0l0gr8jp9ya4ygxsg8pxjxgx8tnwxne7hs22c7cu6yc,50000
rdx1qsppp2gjjnnzujpenktkd8kft29y4v8c34d5hpz9nn7539e8amam0hcn3pljd,50000
rdx1qspjs9j8plhpdz6j2j5p59y8qe096ylnctdvau72kvy3dxmmwy7wsagaleq9l,50000
rdx1qspa5lmew7flf54yjjcfc8r847dj08dkfx6h36v85lftv2e40vznt4cf4zrp7,50000
rdx1qsppfkanyq64etacrhm4c6q0uwc9hd2qg8cndw7hnwu0ltngnnuqsdqcwuks0,50000
rdx1qsp3c5h32xemfargxf49p79qgs0n8dy9x679r022z29fz9edsrshs5sscngxt,50000
rdx1qsp42hu053vtlus4vgkzxflpprulw8725gzacgt432ymlkjhx9u7x8qr2aujy,50000
rdx1qspawy9vruj4y2jcp9wn44jjhlk4p6nrgp9xmzl59ujngptpr0gaphsr4jpyr,50000
rdx1qspqurcj4nxrwsjnkv0m7wslhxaqttzv2umuwxha3wwpnqc5dhslfpspfq4el,50000
rdx1qspg6j7k67sj8g6eucwhpl2yy7zea7sfv6r7tyyqjaczk7s7w75vfasupg7ea,50000
rdx1qspd0qmh0emj9yels59g50gjve6yyh92d4p7nu3plnme9rlpmltqmjsqraxne,50000
rdx1qspc3s2x3h2t72wcrxgagsg6nm9ekzweyln5qgkmfwwwkzve0e9zapcvtgszy,50000
rdx1qspp4m3hn6pxgv66xvrmwhmdm42upamkspwfcds0dv4t4kd0h8f6huq92tvep,50000
rdx1qspx4uaz50yvdwcwzvz0hwfy632htrzfwluj7904ppt74h8k57gps7sce99xy,50000
rdx1qspgka7w294jncmv85yqn5c34rw6va3k2tds6h0t8zj6jauknmnepqgthpep6,50000
rdx1qspgyupwxvgzucsvqv3gt6azv0uywlz898fj0c4cw64qadmzutrgqdqz6y7ss,50000
rdx1qsphx82jdj78d8hdkw33qw4e3hemvrhgrt54288sevw8xj0tux4vpvsj90r36,50000
rdx1qspngu50f6xmexdwvkhjz8n2a9esvhg3a6suf0400ppcq2rhgnelmfgenrufm,50000
rdx1qspmps2wgsltnwv87pg4wz7x46f7yvd8rzu2sv9dtcszerjfjeg4v3ss4yh57,50000
rdx1qspeh3jqpwsxp9frcv2ter92l0url4u9xurw8zz3hng0ntyd25pr5lsunsn9r,50000
rdx1qspespgfgv69fl80t5239wz8dzsrczgvttxkglwruyca7nff7ccnnhgg84ye2,50000
rdx1qspq7j7mt29wj8smqz70que2yksknsgqnsh3s36p3n2kj4p9tgudy0syudnmy,50000
rdx1qsp5t39u77zzll090taze2rhds0u7s80nw9yf6hpyvuw6hykp4exjegvw69s8,50000
rdx1qsppgan3726q6ktc5j3jt9qp78ux0hv6junr36msgplcgqww3hvcz4gvmnguy,50000
rdx1qsph0lajh9zn2mewwjnn6jywyw02vz89807rejae8z9gh0ry2x72dzcyw9jy2,50000
rdx1qsp97yudnxrtsa9zvje6y8zsh2335fqfcspfetx5u7kwuxhvn7rtx5s4dgncz,50000
rdx1qsp4h7kakmkk0tjns3xu2x4pu4mgaam25uw4n4r88hfe6mmnpsm4rscexvwu5,50000
rdx1qspyw4j4qyu4hl4skprkgk48jvk5yjud69g96kzw500dht9d4mhv6csdvh537,50000
rdx1qsp8ux6w68rej7ytqz3md0lmvmcqnqcazq3w3vl8e6qk6zw00e7vj2qmhphpg,50000
rdx1qsp9j7duncl845762v2x62c5yhjrhvr0wln4x743kh02rvgd5e9sp8s3c24tl,50000
rdx1qsp06z3nhm6my2r04vcmhk09dautf9xqf7htj3yvctxhsd6n8wau29ghmdgmr,50000
rdx1qsprcd5cv5y7v8ekzxkh6s2p2gy7knl0ctlqq3yztmqsvalxn7rehrqj2y0gw,50000
rdx1qspk3gcpeyyq72cqw69y68c0zlqr9a2489mgemz4y033l7rl5qnljzgwv3y0q,50000
rdx1qspj9va4warz38akmqupjmzk9aem8llcv7xnfcwzvc6ftq2nr23fsag9tu7ee,50000
rdx1qspy40jmqk4sz5m5txvt3wtvn99ectyuzwth8ych8g2sylqe09sgm3sk2hpzq,50000
rdx1qsp8xv5zqqfpxn0d4rlj7r0wm8qvzn2jtmqn9tjfjhx02a036j6dk9c9z6mfy,50000
rdx1qspkgckx7cjvs2q4d8g0u4wnkzv2mrzaauvm9ys77q4ut2yygdcxn9g5fyey5,50000
rdx1qspp0lp4wfc6l0clayjwp332nc5u0dwlnn4vg9w7nvdpnpez24hwgnqj2ah9e,50000
rdx1qspf9fqk2hj5avqkppd6c445qpcxancct9leupld49w0waq2ntlld3c0un962,50000
rdx1qsprfgjct6aecwdc6pqxxvrue0zejy68r85wjutuzrfxkzwaqqhtzdqtpsq29,50000
rdx1qsph3latq0e6mc5st72kmn75z2nkkum5rngmkh7jd208kevyr3xkdscnq2ulw,50000
rdx1qsp4et3738s0qcyp280jyy2m89yf6v575cxcdufhhd2q73ccge8v7esp6427s,50000
rdx1qspzyaa6uhe4rk9mgmt0qyfqm29hr6m84kvmpqp49wdnn63phv6yttqh9qkxv,50000
