address,total_staked
rdx1qspldshtx0s2l2rcnaqtqpqz8vwps2y6d9se0wq25xrg92l66cmp6mcnc6pyu,402283981.0222
rdx1qspc4rju2cu9tykcectyj96uf75xc9rjkv70nyq9z0hreq8cj0w29qcp7tk78,201493039.31181
rdx1qspzzhrs82yg75ecy9hrr2pz6srdy03wk8sz70dk8dax37v775jfysg9aw038,150316680.77921
rdx1qsppt8zy6ajg4ky82ehndalm6rf4juc3lmzxd7ag66a0nnde4j4085syusc7l,68734330.21323
rdx1qsprdfzelc7gjh2l8gun66vfnvxv7k5qvmd5pnt4r0we5ar9gnsvwsqg0n7vg,64733854.22595
rdx1qspgp32k3cfz570hvt9979ses3hakvscaq8j6xmu5xvv20tqp0s6gzce6lkk8,55400738.13714
rdx1qspwpd2u7mej7c34kgfpvxkz8x9dqcm0ejxuqk6ezq6tm0naneayu9syyp8kp,50935610.39163
rdx1qspksq7xmdg65flym3f5arje0krvjgttedwcaaglj8635t4aue9fcsge2lggm,43805788.04232
rdx1qsprth9p8v8hh0hjfvnkp77wg5n0wfpd78ug7jwlypy6lvx5dv3ssec4mvfsl,41901470.94885
rdx1qsphmyru7rcslwq7tw50hx3qmj6xfh2wn8uqfhys66hfryu44dnvqzcm6yz4d,39521876.28815
rdx1qspv7vq99u4kcuhygu48gce4tpj0e3h385suesj9plvgtklgj8a0zhgqs03vr,38680000
rdx1qspu48wdgsj50ckjxufm9mmf844axveeprcd55cqgew6mrr5m9dzt2c0asetd,38324753.81021
rdx1qsp3hd7wkelc8xkl68qcxtazzpnpswapr97pvmwqwc79ruu4apl8dxss8zan7,36021875.52394
rdx1qspsx43a583wwt0aszpucr7p64l8hcjsy2728ac6gwnwsf6y2umvl2gw3dxmw,35011537.01325
rdx1qsp7zmwaq2lkkcspt2m2wnfhgrlxa76d0u2k5gfnz8tap7mymyzmjtc3ktdsc,34011381.1028
rdx1qspahhy954p9dw4aqtm5sdy0k6mqhrysqcakj4fwvre80hkvyszvxtgh9mru9,32106216.72017
rdx1qspglhymajphwyfrlm087hvjdfvtd0zfuyh9gy5ydauade4crnu426snfhmcl,30962805.6744
rdx1qspcuscca5u4kxkt6ngntvq545mwk2pjqllp3jssphg3mcj9mtm4q9qey5ur7,29583863.22029
rdx1qsp3wcer7eyd0kwx72342fhfwczyu5le3vrcfze69e56pdc0p2e5vggf9f2et,29217907.58204
rdx1qsp36x9d8fdj6qxdshek5valrv78zgsvnkwjs9dy0nad36tvf6fft7cedv3s2,27765777.67595
rdx1qsp74f82cwlatx0t24msvhlmw50jmrdxdcycr5k6l4xeas65pk8zpdqhnq40l,27316142.3048
rdx1qspr4fpcxcwxlg9cz063uzy4c3wrqq3uwve0gavlxajr9r59dpgk6ycgx7azc,26730380.55654
rdx1qspfrhswl096pk62ltypv7ap5m67cqn4k70vwaaqnylmr4um6s6knrqhzrfvt,26007319.86636
rdx1qspwxlr9dvrvpuyy6ya2ex9v2w49c6e3s9yluswur7zk3cty953849gk9d63w,25371870.07129
rdx1qsp5wuwel3q5udgfyzhs92nc64wet850audfzllyk8vsu0kj68mp0tghzyhar,25360009.6024
rdx1qspk55378p6m3xvjtfckn6jgc2lgxwptm9smslvvll85q5ydanwj8cguxhwqq,24306326.46871
rdx1qspempdukh3fqk298r735g7m8g4c8luee8czndq63wp7k5j9qtvw5yqjvj8aw,23933568.5642
rdx1qsp2fed3x6wvfmvm7gew3wl8wskpzwpmkzzwdypa3k7sk2kuffngl5sntyzj2,22507778.69849
rdx1qspt2gyapdn40nac5arw3k7rr3cg9espsaqtu65e84mpcf8j65wyymceq98ha,20245487.82932
rdx1qsptdvcpvfwsgykr68fmv5jvrp3aukdtrfwca899d2hhtewc3crmykghd6le8,17350053.20064
rdx1qspxvvmtakcxevd0lra3f48ufamg296y55seh2xmgw8f5q8a6m4ejqck5ys84,16506100.89074
rdx1qspa3k42lax23v96pz6exue7ajufmmyd2l7ckn30cwvpz2agzmfsg7gryzq07,16422098.34337
rdx1qsp7repsn7f3wsnldrkvgqcqnjp2pph67yrzlk8ql4ulq9uhlge5m9sfxwjhf,14263591.76464
rdx1qsphcyx0jv4l3lq9jfvgqw0zrrc4fmp9wqk7cgdwrmlw3xcckv3vg7qkr7wsa,14083666.6617
rdx1qsp97d029kua3wuvhadedxauhcfuy625chfffvgwyrutkkpakpcaagq5wzx99,12694880.35065
rdx1qspv9sfskaxanazy306x3u5jr7vp2dp4k8hwlafyt86flks0v5544dgqmexde,12625507.88268
rdx1qspx98rlgmkz0eq5e6srla7s30mcte9pslrpe3n9sn9zusl3fldq3tqv42gt3,12619249.85447
rdx1qsp4uhckvja80u2s8yrztu47fq6kr4f5q5z8a0n6ugeygrfvludhqysgq6l4v,12589828.39002
rdx1qspx42c3c2t9vmzrukvtzjczpe0yu7nufdemyx84cmm0dke4g2kvnlg4mn0q3,12351506.23827
rdx1qspk6retef5snfrrtrv0c0xekktskav9cf62vqwyyu29xrgk43k4zrqm86tu0,12330697.64088
rdx1qspm04agwev7a0wcc9kk49vd296dmpgt4a75px8yq98n2de3u2xrd8sr4k5kc,12172147.88627
