user,XRD_Volume,swaps
rdx1qspke2skccujfetp2w0egnhcaymfyzvj73nm6clqck5ea6zkkeul3mqj7tm7a,1023088.333919854580434259,2838
rdx1qsptxddvu4z47etv5gqm823kv7xywg5m4smz63jy9jlqlgtrvzdex3qha5dka,318339.574778169944356365,551
rdx1qsp4eg4n8h3h3adwrd4f5m2lfz83qpqqsa002aw0hu2wzjdl8f3yl4sw74c84,259453.698872097306845191,428
rdx1qspxse6pvsl3xptwwu4y940eqnfm9usc6jhvkx9afxfqsgyrwqqfqesenwwg7,256355.461040618874932795,645
rdx1qsp0rdfa3dh5cv47026kfz4t62y58r6ea23fq8j0fzc4rh6empwflactgnj34,226652.024541051473874472,1106
rdx1qspraawt4m2c0pe9jvhwcu6yrk95tmgt0v55kyvgxz3589759t75xlq7pze86,154532.078014505533708986,1253
rdx1qspchsyawn0vevggst8j7g3n9cpk8qknvuty5zsl0j8pe868xpcxsaqmvvu67,154194.652107990159664383,363
rdx1qspv6sddd2xvjjlf98fzx6zl35yw3kmc9azafxdpn0wved79atjeyxs8f52cn,122390.351222145908386296,369
rdx1qspz3ws67dcy9stn3ly5rjf0jszddnkwey6eeckkvuqtk94mv6e7tjqe9kna8,117928.633395216001966262,293
rdx1qspcugr7znszenpz5vayhmwqhc3z4hq2qsqjeagsn2l5k53sl503adg47398e,115821.715773000000000000,233
rdx1qspvaz9qhqv8jkxaaptazej4e8p2pkgsp3kc3fla7l0m2ggm382u30c5ty5c2,113165.688048486544521900,343
rdx1qspapvearys5f0lvg47ffsaxxm43et8zhacymzc66xke9k6ywc20u3qm5jrzw,101129.967919873176117714,367
rdx1qsph4cfd8ayjeh3k6q868kxqnutdveuh28tmtew6ns5a856l3gwjgjcw8mw6g,100694.772264962105134175,217
rdx1qsp3n6eux34qq8y5egtukn49axdf87lyyg7a3678lus977qmqcmenrgmfu7v0,99776.775071866945631154,183
rdx1qspcqzplkss5lgmk32ca32d6t227zfcx8krkz6jrlqc20n90en4j4gsgpy5uq,96519.951007078400151661,314
rdx1qsp607cchcg76zh8yjrpll2fhgn5zph5009se2kdx5skzjqmhacj8zsselh4q,96292.094554211905791522,587
rdx1qsputtj6ycrgg6xq35kr3396lmed35kyrcvmk3paf2dqkpnushpzpaglkjzme,93428.393110541991658798,277
rdx1qspwjd0uhshvxhk9ta30txzdrmudag585gvfky84hkzfen2zey8xk2cznpege,91699.511180632755285976,356
rdx1qsp7encuwfv9t4jwwr5atjvay9hwdw4qdfvm4cahxgjltfnsckrfnlqzzn5zf,84659.869626804860473394,288
rdx1qsp2a50fyzhzguwgudrpsw85q2x9xuql9tevq43p4wwa3gdpycz7tsg0qtc9p,74560.141264920949217668,166
rdx1qsp8g30n83z7rje26qe3am52pqr9dhq7s3qja0ys45favkqhlw487ccwm5yu4,70370.496720093835487342,77
rdx1qspd0qmh0emj9yels59g50gjve6yyh92d4p7nu3plnme9rlpmltqmjsqraxne,66882.781301606576166229,217
rdx1qspvugvu0u5h8hw0h2weygas2z7mp4wpepa9sq40m9ut9m4jrvyaqhcnezxdy,64003.713468175990035851,89
rdx1qsp06kt9keefuwg7rf2ehk0rxtxdtlfwf4we56fcz7u5nkuj3wwh4qcy5f6ps,62935.050819478749172915,52
rdx1qsp6erc8smmlnssd6cpfc0akj87ugl43w8ttsh2ej6xw92yn4s5an9g3jy9j3,62423.189254385108653526,181
rdx1qsp2ar6q9kx9fks8cvdvy8fhphuapth6vgxjwqjlgxncetp8dgk24vs0jyt9j,61615.656780038338894755,299
rdx1qsp9k8pvxm82tfta75fdz22p8l0pe5ts25mvlkvvr9ylvmeuukegdxgfcq8ht,60055.774233758292041612,150
rdx1qsp06z3nhm6my2r04vcmhk09dautf9xqf7htj3yvctxhsd6n8wau29ghmdgmr,52826.658343959021820397,87
rdx1qsp76aveq428xcjx08hjwt22gc3xm9xda5hm6lx0plc8rms06v7ffys724ldn,49217.340063822497105682,196
rdx1qspxyzsmfgk3h29zrwcxkrywgwquuvqyce5gs2dpafree242dv0zxmgdw85wl,48250.000000000000000000,101
rdx1qspgh9pu9kct4rm5g5030q2zd9w3kcfzj5swfwqytwu7mzhkvmg053s52ap7p,47483.171043810344345564,121
rdx1qspp4m3hn6pxgv66xvrmwhmdm42upamkspwfcds0dv4t4kd0h8f6huq92tvep,47310.210274310433492035,101
rdx1qspsrqrp4x2wvk6kpsrcyh6jnlsc55vtvyrfz586g06ujnmagnrfm7q49v72l,45188.956504140010301381,117
rdx1qsp3fdhv0y5ksml9fy89k6nf09pywqc4fv30ghmf8s5jve73v98734cy5tvky,45103.426962968342778229,54
rdx1qspms3p9jgyhflm4y88mrtgtfrr84stqqmdhm42ft803f2l4gcamghc4ajkcc,44385.849627382237685992,95
rdx1qsp6emlta0hfsc4pwk7qvhfqx5y3h7shm7a4fheakjn43pmwu0gk3sce0as8x,43124.833380482979263349,158
